,Naive Bayes,Logistic Regression,SVM,Neural Network
sandy,79.13812324606928,86.62204861605161,85.962822784412,88.80022506548663
alberta,83.27231062169744,88.46572887217768,88.84439854328396,91.7555155259881
boston,84.56894079460231,89.87275330760103,89.9328529682998,91.91033602232469
oklahoma,81.03506708309108,83.33609247065976,82.06605304654329,87.65973546180248
queensland,87.14345255215918,92.57520910114698,91.07061973024624,95.20642350864519
west_texas,91.5852563228875,93.4140871622131,92.99422216963447,95.75266812151526
