,Naive Bayes,Logistic Regression,SVM,Neural Network
sandy,78.05857311104687,87.15123956503265,84.65356232972425,87.5710042238291
alberta,80.85979232208706,88.88432361112974,86.26200124092097,88.9142136484155
boston,80.12497238158745,88.06516997730178,86.79653347152099,89.15368171313737
oklahoma,83.41637285109022,89.36104188230252,88.41078697506913,90.13169203141882
queensland,87.98052280626976,94.74788886951502,93.8711071568553,95.18638892227328
west_texas,91.69515142528637,94.93316778174349,93.05414225953956,95.33290284327182
