,Naive Bayes,Logistic Regression,SVM,Neural Network
sandy,73.19308377779141,88.81972600113531,85.30338227489652,89.10954578304442
alberta,78.68681946189334,92.66261007709309,89.8409753301133,93.25084024430363
boston,78.65733367979998,90.11255843507466,88.5142366370524,91.08134476068714
oklahoma,81.18511207555731,90.70219794581975,87.43046698524438,91.55285807709261
queensland,84.07374786452799,95.41566630452441,95.22626440558743,96.0335634659463
west_texas,89.65652039115307,95.57285293417227,90.75513691705595,96.84195873397623
