,Naive Bayes,Logistic Regression,SVM,Neural Network
sandy,80.43672469459574,89.64919638083056,85.81210393804095,90.97803218358
alberta,81.3383069525852,91.99467864468377,90.6486469838119,93.43028693388658
boston,81.48338431413818,90.63205890465001,90.69177452602317,91.98034089795308
oklahoma,84.30706844913948,90.56197768553946,90.37223817113761,92.48354387508277
queensland,87.52212719092348,95.19642368360788,94.60857586681908,96.18309503631808
west_texas,92.37474170007903,95.81269804658112,95.35297785672599,96.85192368260147
