,Naive Bayes,Logistic Regression,SVM,Neural Network
sandy,87.65070012446324,90.40843714007133,89.64924131340922,91.1378572135025
alberta,81.68674842438305,85.20567843057772,82.872697304201,86.93048343449968
boston,82.82126261157714,86.64659853376777,85.9776868164287,88.0650598683787
oklahoma,86.44849451752904,89.73120694481376,90.45190262799068,91.8131535341914
queensland,92.16623174820333,95.40554718505172,95.01686768295016,96.37244716723364
west_texas,92.33455200471693,94.55327780665111,94.16336287400755,95.95249324215379
