,Naive Bayes,Logistic Regression,SVM,Neural Network
sandy,80.62650992186224,89.69906155813202,86.72174402309334,90.90812203129592
alberta,81.707195304967,92.4931632605919,91.28659363215783,93.64954454574962
boston,81.55337922187648,91.00160448637735,91.0513500478553,92.4697366839657
oklahoma,84.36716356176086,90.43203283323344,90.96250327365884,92.36353397386756
queensland,87.89085657824731,95.29608483965146,94.20974247163839,96.2727462372307
west_texas,92.41472670258277,96.01259809655612,95.24317261948447,96.86194880930181
